episode,step,episodic reward,success rate,episodic length
1,430,0,0.0,214
1,435,0,0.0,219
1,440,0,0.0,224
1,445,0,0.0,229
1,450,0,0.0,234
1,455,0,0.0,239
1,460,0,0.0,244
1,465,0,0.0,249
1,470,0,0.0,254
1,475,0,0.0,259
1,480,0,0.0,264
1,485,0,0.0,269
1,490,0,0.0,274
1,495,0,0.0,279
1,500,0,0.0,284
1,505,0,0.0,289
2,510,1,0.05,1
2,515,1,0.05,6
2,520,1,0.05,11
2,525,1,0.05,16
2,530,1,0.05,21
2,535,1,0.05,26
2,540,1,0.05,31
2,545,1,0.05,36
3,550,-1,0.05,2
3,555,-1,0.05,7
3,560,-1,0.05,12
3,565,-1,0.05,17
3,570,-1,0.05,22
3,575,-1,0.05,27
3,580,-1,0.05,32
3,585,-1,0.05,37
3,590,-1,0.05,42
3,595,-1,0.05,47
3,600,-1,0.05,52
3,605,-1,0.05,57
3,610,-1,0.05,62
3,615,-1,0.05,67
3,620,-1,0.05,72
3,625,-1,0.05,77
3,630,-1,0.05,82
3,635,-1,0.05,87
3,640,-1,0.05,92
3,645,-1,0.05,97
3,650,-1,0.05,102
3,655,-1,0.05,107
3,660,-1,0.05,112
3,665,-1,0.05,117
3,670,-1,0.05,122
3,675,-1,0.05,127
3,680,-1,0.05,132
4,685,-1,0.05,2
4,690,-1,0.05,7
4,695,-1,0.05,12
4,700,-1,0.05,17
4,705,-1,0.05,22
4,710,-1,0.05,27
4,715,-1,0.05,32
4,720,-1,0.05,37
4,725,-1,0.05,42
4,730,-1,0.05,47
4,735,-1,0.05,52
4,740,-1,0.05,57
4,745,-1,0.05,62
4,750,-1,0.05,67
4,755,-1,0.05,72
4,760,-1,0.05,77
4,765,-1,0.05,82
4,770,-1,0.05,87
4,775,-1,0.05,92
4,780,-1,0.05,97
4,785,-1,0.05,102
4,790,-1,0.05,107
4,795,-1,0.05,112
4,800,-1,0.05,117
4,805,-1,0.05,122
4,810,-1,0.05,127
4,815,-1,0.05,132
4,820,-1,0.05,137
4,825,-1,0.05,142
4,830,-1,0.05,147
4,835,-1,0.05,152
4,840,-1,0.05,157
4,845,-1,0.05,162
4,850,-1,0.05,167
4,855,-1,0.05,172
4,860,-1,0.05,177
4,865,-1,0.05,182
5,870,0,0.05,3
5,875,0,0.05,8
5,880,0,0.05,13
5,885,0,0.05,18
5,890,0,0.05,23
5,895,0,0.05,28
5,900,0,0.05,33
5,905,0,0.05,38
5,910,0,0.05,43
5,915,0,0.05,48
5,920,0,0.05,53
5,925,0,0.05,58
5,930,0,0.05,63
5,935,0,0.05,68
5,940,0,0.05,73
5,945,0,0.05,78
5,950,0,0.05,83
5,955,0,0.05,88
5,960,0,0.05,93
5,965,0,0.05,98
5,970,0,0.05,103
5,975,0,0.05,108
5,980,0,0.05,113
5,985,0,0.05,118
5,990,0,0.05,123
5,995,0,0.05,128
5,1000,0,0.05,133
5,1005,0,0.05,138
5,1010,0,0.05,143
5,1015,0,0.05,148
5,1020,0,0.05,153
5,1025,0,0.05,158
5,1030,0,0.05,163
5,1035,0,0.05,168
5,1040,0,0.05,173
5,1045,0,0.05,178
5,1050,0,0.05,183
5,1055,0,0.05,188
5,1060,0,0.05,193
5,1065,0,0.05,198
5,1070,0,0.05,203
5,1075,0,0.05,208
5,1080,0,0.05,213
6,1085,0,0.05,5
6,1090,0,0.05,10
6,1095,0,0.05,15
6,1100,0,0.05,20
6,1105,0,0.05,25
7,1110,-1,0.05,4
7,1115,-1,0.05,9
7,1120,-1,0.05,14
7,1125,-1,0.05,19
7,1130,-1,0.05,24
7,1135,-1,0.05,29
7,1140,-1,0.05,34
7,1145,-1,0.05,39
7,1150,-1,0.05,44
7,1155,-1,0.05,49
8,1160,-1,0.05,5
8,1165,-1,0.05,10
8,1170,-1,0.05,15
8,1175,-1,0.05,20
8,1180,-1,0.05,25
8,1185,-1,0.05,30
8,1190,-1,0.05,35
8,1195,-1,0.05,40
8,1200,-1,0.05,45
8,1205,-1,0.05,50
8,1210,-1,0.05,55
8,1215,-1,0.05,60
8,1220,-1,0.05,65
8,1225,-1,0.05,70
8,1230,-1,0.05,75
8,1235,-1,0.05,80
8,1240,-1,0.05,85
8,1245,-1,0.05,90
