episode,step,episodic reward,success rate,episodic length
2,425,0,0.0,152
2,430,0,0.0,157
2,435,0,0.0,162
2,440,0,0.0,167
2,445,0,0.0,172
2,450,0,0.0,177
2,455,0,0.0,182
2,460,0,0.0,187
3,465,0,0.0,3
3,470,0,0.0,8
3,475,0,0.0,13
3,480,0,0.0,18
3,485,0,0.0,23
3,490,0,0.0,28
3,495,0,0.0,33
3,500,0,0.0,38
4,505,-1,0.0,1
4,510,-1,0.0,6
4,515,-1,0.0,11
4,520,-1,0.0,16
4,525,-1,0.0,21
4,530,-1,0.0,26
4,535,-1,0.0,31
4,540,-1,0.0,36
4,545,-1,0.0,41
4,550,-1,0.0,46
4,555,-1,0.0,51
4,560,-1,0.0,56
4,565,-1,0.0,61
4,570,-1,0.0,66
4,575,-1,0.0,71
4,580,-1,0.0,76
4,585,-1,0.0,81
4,590,-1,0.0,86
4,595,-1,0.0,91
4,600,-1,0.0,96
4,605,-1,0.0,101
4,610,-1,0.0,106
4,615,-1,0.0,111
4,620,-1,0.0,116
4,625,-1,0.0,121
4,630,-1,0.0,126
4,635,-1,0.0,131
4,640,-1,0.0,136
4,645,-1,0.0,141
4,650,-1,0.0,146
4,655,-1,0.0,151
4,660,-1,0.0,156
4,665,-1,0.0,161
4,670,-1,0.0,166
4,675,-1,0.0,171
4,680,-1,0.0,176
4,685,-1,0.0,181
4,690,-1,0.0,186
4,695,-1,0.0,191
4,700,-1,0.0,196
4,705,-1,0.0,201
4,710,-1,0.0,206
4,715,-1,0.0,211
4,720,-1,0.0,216
4,725,-1,0.0,221
5,730,0,0.0,3
5,735,0,0.0,8
5,740,0,0.0,13
5,745,0,0.0,18
5,750,0,0.0,23
5,755,0,0.0,28
5,760,0,0.0,33
5,765,0,0.0,38
5,770,0,0.0,43
5,775,0,0.0,48
5,780,0,0.0,53
5,785,0,0.0,58
5,790,0,0.0,63
5,795,0,0.0,68
5,800,0,0.0,73
5,805,0,0.0,78
5,810,0,0.0,83
5,815,0,0.0,88
5,820,0,0.0,93
5,825,0,0.0,98
5,830,0,0.0,103
5,835,0,0.0,108
5,840,0,0.0,113
5,845,0,0.0,118
5,850,0,0.0,123
5,855,0,0.0,128
5,860,0,0.0,133
5,865,0,0.0,138
5,870,0,0.0,143
5,875,0,0.0,148
5,880,0,0.0,153
5,885,0,0.0,158
5,890,0,0.0,163
5,895,0,0.0,168
5,900,0,0.0,173
5,905,0,0.0,178
5,910,0,0.0,183
5,915,0,0.0,188
5,920,0,0.0,193
5,925,0,0.0,198
6,930,0,0.0,3
6,935,0,0.0,8
6,940,0,0.0,13
6,945,0,0.0,18
6,950,0,0.0,23
6,955,0,0.0,28
6,960,0,0.0,33
6,965,0,0.0,38
6,970,0,0.0,43
6,975,0,0.0,48
6,980,0,0.0,53
6,985,0,0.0,58
6,990,0,0.0,63
6,995,0,0.0,68
6,1000,0,0.0,73
6,1005,0,0.0,78
6,1010,0,0.0,83
6,1015,0,0.0,88
6,1020,0,0.0,93
6,1025,0,0.0,98
6,1030,0,0.0,103
6,1035,0,0.0,108
6,1040,0,0.0,113
6,1045,0,0.0,118
6,1050,0,0.0,123
6,1055,0,0.0,128
6,1060,0,0.0,133
6,1065,0,0.0,138
6,1070,0,0.0,143
6,1075,0,0.0,148
6,1080,0,0.0,153
6,1085,0,0.0,158
6,1090,0,0.0,163
6,1095,0,0.0,168
6,1100,0,0.0,173
6,1105,0,0.0,178
6,1110,0,0.0,183
6,1115,0,0.0,188
6,1120,0,0.0,193
6,1125,0,0.0,198
6,1130,0,0.0,203
6,1135,0,0.0,208
6,1140,0,0.0,213
7,1145,0,0.0,4
7,1150,0,0.0,9
7,1155,0,0.0,14
7,1160,0,0.0,19
7,1165,0,0.0,24
7,1170,0,0.0,29
7,1175,0,0.0,34
7,1180,0,0.0,39
7,1185,0,0.0,44
8,1190,-1,0.0,2
8,1195,-1,0.0,7
8,1200,-1,0.0,12
8,1205,-1,0.0,17
8,1210,-1,0.0,22
8,1215,-1,0.0,27
9,1220,-1,0.0,2
9,1225,-1,0.0,7
9,1230,-1,0.0,12
9,1235,-1,0.0,17
9,1240,-1,0.0,22
9,1245,-1,0.0,27
9,1250,-1,0.0,32
9,1255,-1,0.0,37
